date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:03:58	8456/8456	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2007:03:56%20GMT	https://yanderesimulator.com/	D:/Documents/fard/yanderedev/yanderesimulator.com/index.html	(from )
00:03:58	95/95	---M-Z	200	added ('OK')	text/plain	etag:%2272e4779-71-5a15b5417c748-gzip%22	https://yanderesimulator.com/robots.txt		(from )
00:03:58	4575/4575	---M--	200	added ('OK')	image/png	etag:%2273017f8-11df-56acace803500%22	https://yanderesimulator.com/dist/images/icon.png	D:/Documents/fard/yanderedev/yanderesimulator.com/dist/images/icon.png	(from https://yanderesimulator.com/)
00:03:58	32150/32150	---M-Z	200	added ('OK')	text/css	etag:%2272e00b8-7d96-5b6e6c4f9fe94-gzip%22	https://yanderesimulator.com/dist/css/style.min.css	D:/Documents/fard/yanderedev/yanderesimulator.com/dist/css/style.min.css	(from https://yanderesimulator.com/)
00:03:58	3183/3183	---M-Z	200	added ('OK')	application/javascript	etag:%2272e479e-c6f-5a16f80b0734c-gzip%22	https://yanderesimulator.com/dist/js/main.min.js	D:/Documents/fard/yanderedev/yanderesimulator.com/dist/js/main.min.js	(from https://yanderesimulator.com/)
00:03:59	8987/8987	---M-Z	200	added ('OK')	image/svg+xml	etag:%2273017fb-231b-56b697a59d900-gzip%22	https://yanderesimulator.com/dist/images/logo.svg	D:/Documents/fard/yanderedev/yanderesimulator.com/dist/images/logo.svg	(from https://yanderesimulator.com/)
00:03:59	46218/46218	---M--	200	added ('OK')	image/png	etag:%2273022fe-b48a-5a15b534177bb%22	https://yanderesimulator.com/img/home/dere.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/home/dere.png	(from https://yanderesimulator.com/)
00:03:59	64564/64564	---M--	200	added ('OK')	image/png	etag:%2273022f6-fc34-5a15b533fe562%22	https://yanderesimulator.com/img/home/yan.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/home/yan.png	(from https://yanderesimulator.com/)
00:04:00	493664/493664	---M--	200	added ('OK')	image/jpeg	etag:%2273022f9-78860-5b8e57929d50f%22	https://yanderesimulator.com/img/home/stalking.jpg	D:/Documents/fard/yanderedev/yanderesimulator.com/img/home/stalking.jpg	(from https://yanderesimulator.com/)
00:04:00	56244/56244	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2007:03:58%20GMT	https://yanderesimulator.com/about/	D:/Documents/fard/yanderedev/yanderesimulator.com/about/index.html	(from https://yanderesimulator.com/)
00:04:00	352474/352474	---M--	200	added ('OK')	image/jpeg	etag:%2273022f8-560da-5b8e5790d09ed%22	https://yanderesimulator.com/img/home/school.jpg	D:/Documents/fard/yanderedev/yanderesimulator.com/img/home/school.jpg	(from https://yanderesimulator.com/)
00:04:00	264312/264312	---M--	200	added ('OK')	image/jpeg	etag:%2273022fa-40878-5b8e579009e39%22	https://yanderesimulator.com/img/home/murder.jpg	D:/Documents/fard/yanderedev/yanderesimulator.com/img/home/murder.jpg	(from https://yanderesimulator.com/)
00:04:00	1892/1892	---M-Z	200	added ('OK')	application/javascript	etag:%2272e4795-764-5a16f80adac5c-gzip%22	https://yanderesimulator.com/dist/js/home.min.js	D:/Documents/fard/yanderedev/yanderesimulator.com/dist/js/home.min.js	(from https://yanderesimulator.com/)
00:04:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Jul%202021%2007:03:59%20GMT	https://yanderesimulator.com/blog/	D:/Documents/fard/yanderedev/yanderesimulator.com/blog/index.html	(from https://yanderesimulator.com/)
00:04:01	1900/1900	---M-Z	200	added ('OK')	application/javascript	etag:%2272e4793-76c-5a16f80ad1fbc-gzip%22	https://yanderesimulator.com/dist/js/about.min.js	D:/Documents/fard/yanderedev/yanderesimulator.com/dist/js/about.min.js	(from https://yanderesimulator.com/about/)
00:04:02	6460/6460	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2007:04:00%20GMT	https://yanderesimulator.com/bug-reporting/	D:/Documents/fard/yanderedev/yanderesimulator.com/bug-reporting/index.html	(from https://yanderesimulator.com/)
00:04:03	101920/101920	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2007:03:59%20GMT	https://yanderesimulator.com/characters/	D:/Documents/fard/yanderedev/yanderesimulator.com/characters/index.html	(from https://yanderesimulator.com/)
00:04:03	6418/6418	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2007:04:01%20GMT	https://yanderesimulator.com/download/	D:/Documents/fard/yanderedev/yanderesimulator.com/download/index.html	(from https://yanderesimulator.com/)
00:04:03	6985579/6985579	---M--	200	added ('OK')	image/png	etag:%2272e0060-6a976b-5aa7effae8602%22	https://yanderesimulator.com/Roadmap.png	D:/Documents/fard/yanderedev/yanderesimulator.com/Roadmap.png	(from https://yanderesimulator.com/about/)
00:04:03	8013/8013	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2007:04:01%20GMT	https://yanderesimulator.com/volunteer/	D:/Documents/fard/yanderedev/yanderesimulator.com/volunteer/index.html	(from https://yanderesimulator.com/)
00:04:04	3578/3578	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2007:04:01%20GMT	https://yanderesimulator.com/donate/	D:/Documents/fard/yanderedev/yanderesimulator.com/donate/index.html	(from https://yanderesimulator.com/)
00:04:04	17480/17480	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2007:04:02%20GMT	https://yanderesimulator.com/wallpapers/	D:/Documents/fard/yanderedev/yanderesimulator.com/wallpapers/index.html	(from https://yanderesimulator.com/)
00:04:05	3769/3769	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2007:04:02%20GMT	https://yanderesimulator.com/contact/	D:/Documents/fard/yanderedev/yanderesimulator.com/contact/index.html	(from https://yanderesimulator.com/)
00:04:05	275529/275529	---M--	200	added ('OK')	image/png	etag:%22c8dfe5f0fe601c9e1aacafd3bca5b633%22	https://i.imgur.com/sy3IXDY.png	D:/Documents/fard/yanderedev/i.imgur.com/sy3IXDY.png	(from https://yanderesimulator.com/bug-reporting/)
00:04:05	21973/21973	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jul%202021%2007:04:03%20GMT	https://yanderesimulator.com/blog-images/?url=https%3A%2F%2Fimg.youtube.com%2Fvi%2FzHx0Bi3gdjE%2Fmaxresdefault.jpg	D:/Documents/fard/yanderedev/yanderesimulator.com/blog-images/index9edf.html	(from https://yanderesimulator.com/)
00:04:05	34867/34867	---M--	200	added ('OK')	image/png	etag:%22730232e-8833-5a15b5359ce3b%22	https://yanderesimulator.com/img/characters/senpai-kun.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/senpai-kun.png	(from https://yanderesimulator.com/characters/)
00:04:05	32288/32288	---M--	200	added ('OK')	image/png	etag:%227302342-7e20-5a15b5369eb40%22	https://yanderesimulator.com/img/characters/yandere-chan-normal.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/yandere-chan-normal.png	(from https://yanderesimulator.com/characters/)
00:04:06	56035/56035	---M--	200	added ('OK')	image/png	etag:%22730233b-dae3-5a15b5362ea46%22	https://yanderesimulator.com/img/characters/1.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/1.png	(from https://yanderesimulator.com/characters/)
00:04:06	3474/3474	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jul%202021%2007:04:04%20GMT	https://yanderesimulator.com/social-media/	D:/Documents/fard/yanderedev/yanderesimulator.com/social-media/index.html	(from https://yanderesimulator.com/)
00:04:06	53408/53408	---M--	200	added ('OK')	image/png	etag:%2273023b3-d0a0-5a15b53b0f6d7%22	https://yanderesimulator.com/img/characters/2.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/2.png	(from https://yanderesimulator.com/characters/)
00:04:07	38693/38693	---M--	200	added ('OK')	image/png	etag:%2273023c1-9725-5a15b53b8cea9%22	https://yanderesimulator.com/img/characters/3.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/3.png	(from https://yanderesimulator.com/characters/)
00:04:07	42298/42298	---M--	200	added ('OK')	image/png	etag:%22730238c-a53a-5a15b5397ae27%22	https://yanderesimulator.com/img/characters/4.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/4.png	(from https://yanderesimulator.com/characters/)
00:04:08	39281/39281	---M--	200	added ('OK')	image/png	etag:%2273023a0-9971-5a15b53a64c5b%22	https://yanderesimulator.com/img/characters/5.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/5.png	(from https://yanderesimulator.com/characters/)
00:04:09	43575/43575	---M--	200	added ('OK')	image/png	etag:%22730237e-aa37-5a15b53900d04%22	https://yanderesimulator.com/img/characters/6.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/6.png	(from https://yanderesimulator.com/characters/)
00:04:09	39437/39437	---M--	200	added ('OK')	image/png	etag:%227302354-9a0d-5a15b5378952d%22	https://yanderesimulator.com/img/characters/7.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/7.png	(from https://yanderesimulator.com/characters/)
00:04:10	55393/55393	---M--	200	added ('OK')	image/png	etag:%22730233f-d861-5a15b53678dc7%22	https://yanderesimulator.com/img/characters/8.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/8.png	(from https://yanderesimulator.com/characters/)
00:04:11	41185/41185	---M--	200	added ('OK')	image/png	etag:%227302315-a0e1-5a15b534849d5%22	https://yanderesimulator.com/img/characters/9.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/9.png	(from https://yanderesimulator.com/characters/)
00:04:11	48805/48805	---M--	200	added ('OK')	image/png	etag:%22730239f-bea5-5a15b53a640a3%22	https://yanderesimulator.com/img/characters/10.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/10.png	(from https://yanderesimulator.com/characters/)
00:04:12	38222/38222	---M--	200	added ('OK')	image/png	etag:%227302388-954e-5a15b5395c5de%22	https://yanderesimulator.com/img/characters/headmaster-old.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/headmaster-old.png	(from https://yanderesimulator.com/characters/)
00:04:12	32996/32996	---M--	200	added ('OK')	image/png	etag:%22730236d-80e4-5a15b538ac18a%22	https://yanderesimulator.com/img/characters/counselor.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/counselor.png	(from https://yanderesimulator.com/characters/)
00:04:12	37818/37818	---M--	200	added ('OK')	image/png	etag:%227302362-93ba-5a15b538239f0%22	https://yanderesimulator.com/img/characters/coach.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/coach.png	(from https://yanderesimulator.com/characters/)
00:04:13	27603/27603	---M--	200	added ('OK')	image/png	etag:%227302365-6bd3-5a15b5383d030%22	https://yanderesimulator.com/img/characters/teacher.png	D:/Documents/fard/yanderedev/yanderesimulator.com/img/characters/teacher.png	(from https://yanderesimulator.com/characters/)
